Use	Position	Mean Int.	Av. No of Particles	Conc. (p./mL)	Orig. Conc. (p./cm^3)	No. of Traces	X50 (nm)	Peak ø (nm)	Span	Drift (µm/s)	Removal
	0.10	5.1	8.0	3.4E+6	3.4E+9	5	100.0	99.6	1.7	16.0	RANGE_NUMBER
X	0.15	4.5	11.0	4.7E+6	4.7E+9	6	107.5	103.1	2.5	26.6	
X	0.20	3.0	11.0	4.7E+6	4.7E+9	6	102.5	100.8	0.7	28.5	
	0.30	3.3	8.0	3.4E+6	3.4E+9	8	147.5	153.8	2.4	32.1	MAX_DRIFT
X	0.40	4.0	19.0	8.2E+6	8.2E+9	17	100.0	84.5	2.0	26.5	
X	0.50	3.7	10.0	4.3E+6	4.3E+9	6	97.5	93.1	1.6	23.6	
X	0.60	4.3	15.0	6.4E+6	6.4E+9	10	112.5	117.7	0.8	14.7	
X	0.70	3.1	16.0	6.9E+6	6.9E+9	14	92.5	143.4	1.4	8.7	
	0.80	4.6	7.0	3.0E+6	3.0E+9	3	110.0	107.9	0.6	5.9	MIN_TRACES
X	0.85	5.8	17.0	7.3E+6	7.3E+9	6	122.5	125.0	1.6	0.4	
	0.90	5.6	9.0	3.9E+6	3.9E+9	7	121.2	123.6	1.1	2.6	RANGE_NUMBER
	Mean	4.1	14.1	6.1E+6	6.1E+9	9.3	105.0	109.6	1.5	18.4	
	St.Dev.	0.9	3.5	1.5E+6	1.5E+9	4.6	10.1	20.3	0.6	10.7	
	Rel.St.Dev.	23.4	24.6	2.5E+1	2.5E+1	49.2	9.6	18.5	41.4	58.2	
