Use	Position	Mean Int.	Av. No of Particles	Conc. (p./mL)	Orig. Conc. (p./cm^3)	No. of Traces	X50 (nm)	Peak ø (nm)	Span	Drift (µm/s)	Removal
X	0.10	22.2	377.0	1.6E+8	1.6E+11	9	68.8	65.1	6.1	7.2	
X	0.15	10.4	64.0	2.7E+7	2.7E+10	29	116.9	125.3	1.0	26.3	
	0.20	10.5	113.0	4.8E+7	4.8E+10	55	121.0	129.1	0.9	30.3	MAX_DRIFT
X	0.30	5.1	89.0	3.8E+7	3.8E+10	53	123.8	135.1	0.9	26.7	
X	0.40	4.5	88.0	3.8E+7	3.8E+10	43	135.0	140.3	0.9	16.7	
X	0.50	5.2	90.0	3.9E+7	3.9E+10	50	138.8	145.5	0.7	5.8	
X	0.60	5.9	77.0	3.3E+7	3.3E+10	31	130.0	151.2	0.8	6.4	
X	0.70	15.7	481.0	2.1E+8	2.1E+11	25	75.0	67.0	1.7	8.8	
X	0.80	19.0	425.0	1.8E+8	1.8E+11	15	98.8	150.3	1.4	6.2	
X	0.85	15.1	474.0	2.0E+8	2.0E+11	30	107.5	100.8	0.8	4.1	
	0.90	60.3	371.0	1.6E+8	1.6E+11	21	81.9	86.4	1.3	2.2	GRUBBS_MI
	Mean	11.5	240.6	1.0E+8	1.0E+11	31.7	110.5	120.1	1.6	12.0	
	St.Dev.	6.7	191.0	8.2E+7	8.2E+10	14.9	25.4	34.3	1.7	9.0	
	Rel.St.Dev.	58.8	79.4	7.9E+1	7.9E+1	46.9	23.0	28.6	107.6	74.4	
