Use	Position	Mean Int.	Av. No of Particles	Conc. (p./mL)	Orig. Conc. (p./cm^3)	No. of Traces	X50 (nm)	Peak ø (nm)	Span	Drift (µm/s)	Removal
	0.10	5.2	10.0	4.3E+6	4.3E+9	4	97.5	92.8	0.8	17.7	MIN_TRACES
X	0.15	5.0	34.0	1.5E+7	1.5E+10	21	111.2	89.9	1.0	22.5	
X	0.20	3.9	77.0	3.3E+7	3.3E+10	47	106.7	98.4	1.0	26.0	
X	0.30	5.1	145.0	6.2E+7	6.2E+10	100	94.8	96.1	0.7	28.1	
X	0.40	5.3	103.0	4.4E+7	4.4E+10	67	95.4	89.9	0.8	27.0	
	0.50	4.7	87.0	3.7E+7	3.7E+10	60	95.0	80.4	0.9	22.1	GRUBBS_SIZE
X	0.60	5.1	95.0	4.1E+7	4.1E+10	67	98.6	92.5	0.9	18.0	
X	0.70	4.2	79.0	3.4E+7	3.4E+10	51	97.2	96.3	0.7	11.4	
X	0.80	5.5	67.0	2.9E+7	2.9E+10	43	101.7	97.5	0.8	8.3	
	0.85	5.8	19.0	8.2E+6	8.2E+9	10	87.5	248.4	0.6	4.8	GRUBBS_SIZE
	0.90	5.5	2.0	8.6E+5	8.6E+8	1	100.0	103.4	0.0	9.8	MIN_TRACES
	Mean	4.9	85.7	3.7E+7	3.7E+10	56.6	100.8	94.4	0.8	20.2	
	St.Dev.	0.6	34.3	1.5E+7	1.5E+10	24.8	6.2	3.6	0.1	7.9	
	Rel.St.Dev.	12.0	40.0	4.0E+1	4.0E+1	43.8	6.1	3.8	13.2	39.0	
