Use	Position	Mean Int.	Av. No of Particles	Conc. (p./mL)	Orig. Conc. (p./cm^3)	No. of Traces	X50 (nm)	Peak ø (nm)	Span	Drift (µm/s)	Removal
	0.10	16.8	303.0	1.3E+8	1.3E+11	3	46.2	48.4	2.3	0.9	MIN_TRACES
	0.15	9.6	7.0	3.0E+6	3.0E+9	0	5997.5	0.0	0.0	36.3	MIN_TRACES
	0.20	45.6	129.0	5.5E+7	5.5E+10	2	27.5	78.4	1.9	1.0	MIN_TRACES
	0.30	80.9	74.0	3.2E+7	3.2E+10	0	5997.5	0.0	0.0	4.0	MIN_TRACES
	0.40	21.1	155.0	6.7E+7	6.7E+10	0	5997.5	0.0	0.0	3.0	MIN_TRACES
	0.50	16.8	151.0	6.5E+7	6.5E+10	0	5997.5	0.0	0.0	3.8	MIN_TRACES
	0.60	17.1	191.0	8.2E+7	8.2E+10	0	5997.5	0.0	0.0	3.7	MIN_TRACES
	0.70	26.2	163.0	7.0E+7	7.0E+10	2	7.5	33.8	3.7	1.5	MIN_TRACES
	0.80	16.6	354.0	1.5E+8	1.5E+11	2	2.5	278.4	109.6	4.7	MIN_TRACES
	0.85	20.6	544.0	2.3E+8	2.3E+11	8	72.5	66.5	59.4	1.5	GRUBBS_NUMBER
	0.90	96.3	3.0	1.3E+6	1.3E+9	0	5997.5	0.0	0.0	0.0	MIN_TRACES
	Mean	0.0	0.0	0.0E+0	0.0E+0	0.0	0.0	0.0	0.0	0.0	
	St.Dev.	0.0	0.0	0.0E+0	0.0E+0	0.0	0.0	0.0	0.0	0.0	
	Rel.St.Dev.	0.0	0.0	0.0E+0	0.0E+0	0.0	0.0	0.0	0.0	0.0	
