Use	Position	Mean Int.	Av. No of Particles	Conc. (p./mL)	Orig. Conc. (p./cm^3)	No. of Traces	X50 (nm)	Peak ø (nm)	Span	Drift (µm/s)	Removal
X	0.10	5.6	19.0	8.2E+6	8.2E+9	6	172.5	330.0	1.4	20.2	
X	0.15	5.1	16.0	6.9E+6	6.9E+9	10	202.5	203.5	0.5	26.7	
	0.20	3.5	22.0	9.4E+6	9.4E+9	16	212.5	224.7	1.5	30.2	MAX_DRIFT
X	0.30	3.9	24.0	1.0E+7	1.0E+10	12	210.0	216.1	0.5	29.5	
	0.40	4.4	33.0	1.4E+7	1.4E+10	23	175.0	163.0	1.1	24.0	GRUBBS_NUMBER
X	0.50	4.0	19.0	8.2E+6	8.2E+9	13	170.0	91.3	1.5	16.0	
X	0.60	4.7	18.0	7.7E+6	7.7E+9	12	137.5	71.5	1.5	5.9	
X	0.70	3.8	20.0	8.6E+6	8.6E+9	11	235.0	274.3	0.7	3.8	
X	0.80	4.9	19.0	8.2E+6	8.2E+9	13	250.0	323.7	1.1	9.4	
X	0.85	6.3	27.0	1.2E+7	1.2E+10	13	206.7	209.2	0.8	8.5	
X	0.90	6.2	17.0	7.3E+6	7.3E+9	10	222.5	217.8	1.2	8.6	
	Mean	4.9	19.9	8.5E+6	8.5E+9	11.1	200.7	215.3	1.0	14.3	
	St.Dev.	1.0	3.5	1.5E+6	1.5E+9	2.3	35.2	89.9	0.4	9.3	
	Rel.St.Dev.	19.3	17.5	1.7E+1	1.7E+1	20.3	17.6	41.8	39.5	65.2	
