Use	Position	Mean Int.	Av. No of Particles	Conc. (p./mL)	Orig. Conc. (p./cm^3)	No. of Traces	X50 (nm)	Peak ø (nm)	Span	Drift (µm/s)	Removal
X	0.10	6.5	77.0	3.3E+7	3.3E+10	53	166.2	148.8	1.1	23.9	
X	0.15	4.9	79.0	3.4E+7	3.4E+10	46	195.0	193.5	0.8	29.9	
	0.20	4.0	79.0	3.4E+7	3.4E+10	55	186.7	139.8	1.4	33.6	MAX_DRIFT
	0.30	5.0	66.0	2.8E+7	2.8E+10	44	180.5	126.4	1.0	35.1	MAX_DRIFT
X	0.40	4.3	72.0	3.1E+7	3.1E+10	47	183.8	272.8	1.3	28.1	
X	0.50	5.1	77.0	3.3E+7	3.3E+10	58	199.2	224.3	1.1	18.6	
X	0.60	6.2	99.0	4.2E+7	4.2E+10	60	203.8	168.6	0.9	7.7	
X	0.70	7.0	100.0	4.3E+7	4.3E+10	51	201.2	101.6	1.4	1.3	
X	0.80	7.1	94.0	4.0E+7	4.0E+10	63	190.0	134.0	1.1	6.2	
X	0.85	6.6	81.0	3.5E+7	3.5E+10	41	205.0	273.7	1.1	6.7	
X	0.90	6.4	71.0	3.0E+7	3.0E+10	48	172.5	137.1	1.6	6.9	
	Mean	6.0	83.3	3.6E+7	3.6E+10	51.9	190.7	183.8	1.2	14.4	
	St.Dev.	1.0	11.3	4.8E+6	4.8E+9	7.3	13.9	61.8	0.2	10.8	
	Rel.St.Dev.	16.6	13.6	1.4E+1	1.4E+1	14.0	7.3	33.6	21.3	75.4	
