Use	Position	Mean Int.	Av. No of Particles	Conc. (p./mL)	Orig. Conc. (p./cm^3)	No. of Traces	X50 (nm)	Peak ø (nm)	Span	Drift (µm/s)	Removal
	0.10	5.1	1.0	4.3E+5	4.3E+8	1	165.0	168.4	0.0	29.6	MIN_TRACES
	0.15	4.6	2.0	8.6E+5	8.6E+8	2	142.5	183.4	0.3	32.0	MIN_TRACES
	0.20	3.0	2.0	8.6E+5	8.6E+8	1	165.0	168.4	0.0	38.2	MIN_TRACES
	0.30	3.4	6.0	2.6E+6	2.6E+9	2	142.5	143.4	0.9	37.4	MIN_TRACES
X	0.40	5.1	38.0	1.6E+7	1.6E+10	22	242.5	233.8	1.2	29.8	
X	0.50	4.2	23.0	9.9E+6	9.9E+9	17	195.0	199.9	0.9	20.2	
X	0.60	4.6	11.0	4.7E+6	4.7E+9	7	186.7	185.8	0.4	10.6	
X	0.70	3.5	21.0	9.0E+6	9.0E+9	13	215.0	358.1	1.3	3.3	
	0.80	4.7	7.0	3.0E+6	3.0E+9	5	250.0	259.6	0.8	3.0	RANGE_NUMBER
	0.85	5.9	14.0	6.0E+6	6.0E+9	0	5997.5	0.0	0.0	3.2	MIN_TRACES
	0.90	5.7	2.0	8.6E+5	8.6E+8	0	5997.5	0.0	0.0	0.0	MIN_TRACES
	Mean	4.4	23.2	1.0E+7	1.0E+10	14.8	209.8	244.4	1.0	16.0	
	St.Dev.	0.7	11.1	4.8E+6	4.8E+9	6.3	24.8	78.4	0.4	11.5	
	Rel.St.Dev.	15.6	47.9	4.8E+1	4.8E+1	43.0	11.8	32.1	41.7	72.1	
