Use	Position	Mean Int.	Av. No of Particles	Conc. (p./mL)	Orig. Conc. (p./cm^3)	No. of Traces	X50 (nm)	Peak ø (nm)	Span	Drift (µm/s)	Removal
X	0.10	6.7	81.0	3.5E+7	3.5E+10	50	177.5	183.4	1.1	25.3	
	0.15	5.1	73.0	3.1E+7	3.1E+10	50	192.5	163.8	1.1	31.7	MAX_DRIFT
	0.20	4.3	101.0	4.3E+7	4.3E+10	66	180.0	154.7	1.0	35.8	MAX_DRIFT
	0.30	5.3	83.0	3.6E+7	3.6E+10	54	160.0	143.2	1.2	36.5	MAX_DRIFT
	0.40	4.7	87.0	3.7E+7	3.7E+10	54	172.5	148.9	1.3	31.5	MAX_DRIFT
X	0.50	5.1	79.0	3.4E+7	3.4E+10	50	209.2	217.0	1.1	20.7	
X	0.60	5.5	73.0	3.1E+7	3.1E+10	49	208.3	125.0	1.4	11.0	
X	0.70	6.9	80.0	3.4E+7	3.4E+10	43	145.0	120.7	1.4	2.1	
X	0.80	7.3	92.0	3.9E+7	3.9E+10	48	175.0	163.3	1.3	4.7	
X	0.85	6.8	91.0	3.9E+7	3.9E+10	47	161.7	163.0	1.5	6.6	
X	0.90	6.3	77.0	3.3E+7	3.3E+10	47	208.3	199.1	1.1	6.0	
	Mean	6.3	81.9	3.5E+7	3.5E+10	47.7	183.6	167.4	1.3	10.9	
	St.Dev.	0.8	7.1	3.0E+6	3.0E+9	2.4	25.7	35.9	0.2	8.8	
	Rel.St.Dev.	12.6	8.7	8.7E+0	8.7E+0	5.1	14.0	21.5	13.0	80.6	
