Use	Position	Mean Int.	Av. No of Particles	Conc. (p./mL)	Orig. Conc. (p./cm^3)	No. of Traces	X50 (nm)	Peak ø (nm)	Span	Drift (µm/s)	Removal
X	0.10	22.5	389.0	1.7E+8	1.7E+11	20	97.5	99.1	1.1	10.0	
X	0.15	11.2	109.0	4.7E+7	4.7E+10	46	103.9	104.0	1.3	26.1	
X	0.20	10.5	91.0	3.9E+7	3.9E+10	34	105.8	124.4	0.7	28.9	
X	0.30	5.0	64.0	2.7E+7	2.7E+10	35	135.0	110.0	1.2	23.0	
X	0.40	4.4	85.0	3.6E+7	3.6E+10	31	105.6	114.1	0.7	11.7	
X	0.50	5.4	84.0	3.6E+7	3.6E+10	40	122.5	168.9	1.1	4.3	
X	0.60	5.7	86.0	3.7E+7	3.7E+10	39	116.7	126.0	0.8	11.9	
X	0.70	15.6	472.0	2.0E+8	2.0E+11	51	88.3	82.5	1.4	12.1	
X	0.80	19.0	416.0	1.8E+8	1.8E+11	23	101.7	105.7	0.9	7.0	
X	0.85	14.5	438.0	1.9E+8	1.9E+11	28	125.0	164.8	1.2	3.4	
	0.90	60.6	361.0	1.5E+8	1.5E+11	21	110.0	110.2	1.4	4.5	GRUBBS_MI
	Mean	11.4	223.4	9.6E+7	9.6E+10	34.7	110.2	120.0	1.0	13.8	
	St.Dev.	6.4	178.2	7.6E+7	7.6E+10	9.7	14.2	27.7	0.2	9.0	
	Rel.St.Dev.	56.3	79.8	8.0E+1	8.0E+1	28.0	12.9	23.1	23.9	65.2	
