Use	Position	Mean Int.	Av. No of Particles	Conc. (p./mL)	Orig. Conc. (p./cm^3)	No. of Traces	X50 (nm)	Peak ø (nm)	Span	Drift (µm/s)	Removal
	0.10	9.8	11.0	4.7E+6	4.7E+9	1	175.0	178.4	0.0	0.8	MIN_TRACES
	0.15	9.0	10.0	4.3E+6	4.3E+9	0	5997.5	0.0	0.0	18.5	MIN_TRACES
	0.20	6.8	12.0	5.1E+6	5.1E+9	0	5997.5	0.0	0.0	12.9	MIN_TRACES
	0.30	9.2	108.0	4.6E+7	4.6E+10	11	145.0	53.6	1.4	6.5	GRUBBS_NUMBER
	0.40	12.0	121.0	5.2E+7	5.2E+10	0	5997.5	0.0	0.0	15.0	MIN_TRACES
	0.50	11.8	278.0	1.2E+8	1.2E+11	3	6.2	0.0	2.8	8.0	MIN_TRACES
	0.60	13.0	297.0	1.3E+8	1.3E+11	0	5997.5	0.0	0.0	2.9	MIN_TRACES
	0.70	27.0	184.0	7.9E+7	7.9E+10	0	5997.5	0.0	0.0	2.5	MIN_TRACES
	0.80	16.1	441.0	1.9E+8	1.9E+11	3	5.0	0.0	4.7	4.2	MIN_TRACES
	0.85	15.7	403.0	1.7E+8	1.7E+11	5	190.0	187.9	5.2	1.8	GRUBBS_MI
	0.90	55.3	60.0	2.6E+7	2.6E+10	2	7.5	33.8	3.7	3.0	MIN_TRACES
	Mean	0.0	0.0	0.0E+0	0.0E+0	0.0	0.0	0.0	0.0	0.0	
	St.Dev.	0.0	0.0	0.0E+0	0.0E+0	0.0	0.0	0.0	0.0	0.0	
	Rel.St.Dev.	0.0	0.0	0.0E+0	0.0E+0	0.0	0.0	0.0	0.0	0.0	
