Use	Position	Mean Int.	Av. No of Particles	Conc. (p./mL)	Orig. Conc. (p./cm^3)	No. of Traces	X50 (nm)	Peak ø (nm)	Span	Drift (µm/s)	Removal
X	0.10	5.9	39.0	1.7E+7	1.7E+10	31	178.8	159.9	1.1	27.1	
	0.15	4.3	47.0	2.0E+7	2.0E+10	31	183.8	188.0	1.1	33.4	MAX_DRIFT
	0.20	3.7	43.0	1.8E+7	1.8E+10	30	195.0	204.2	1.1	37.7	MAX_DRIFT
	0.30	4.8	62.0	2.7E+7	2.7E+10	51	172.0	174.2	1.0	37.8	MAX_DRIFT
	0.40	4.2	34.0	1.5E+7	1.5E+10	31	195.0	204.4	0.9	33.7	MAX_DRIFT
X	0.50	4.9	69.0	3.0E+7	3.0E+10	48	142.5	128.0	1.2	22.9	
X	0.60	5.1	60.0	2.6E+7	2.6E+10	42	160.0	152.6	1.5	13.4	
X	0.70	4.0	81.0	3.5E+7	3.5E+10	58	157.5	130.9	1.3	4.5	
X	0.80	7.0	89.0	3.8E+7	3.8E+10	58	170.5	190.0	1.4	2.0	
X	0.85	6.6	86.0	3.7E+7	3.7E+10	47	186.2	184.8	1.4	2.6	
X	0.90	6.0	59.0	2.5E+7	2.5E+10	36	187.5	137.0	1.1	3.6	
	Mean	5.7	69.0	3.0E+7	3.0E+10	45.7	169.0	154.8	1.3	10.9	
	St.Dev.	1.1	17.9	7.7E+6	7.7E+9	10.3	16.6	25.1	0.1	10.4	
	Rel.St.Dev.	18.6	25.9	2.6E+1	2.6E+1	22.5	9.8	16.2	11.1	95.9	
