Use	Position	Mean Int.	Av. No of Particles	Conc. (p./mL)	Orig. Conc. (p./cm^3)	No. of Traces	X50 (nm)	Peak ø (nm)	Span	Drift (µm/s)	Removal
X	0.10	6.7	79.0	3.4E+7	3.4E+10	59	183.1	201.6	1.4	27.4	
	0.15	4.8	72.0	3.1E+7	3.1E+10	46	170.0	163.8	1.2	33.6	MAX_DRIFT
	0.20	4.2	71.0	3.0E+7	3.0E+10	47	183.8	189.9	0.9	37.6	MAX_DRIFT
	0.30	5.1	76.0	3.3E+7	3.3E+10	53	156.2	153.7	0.9	37.6	MAX_DRIFT
	0.40	4.4	74.0	3.2E+7	3.2E+10	48	197.5	211.2	1.0	31.4	MAX_DRIFT
X	0.50	5.3	84.0	3.6E+7	3.6E+10	57	175.0	192.8	1.1	21.0	
X	0.60	5.8	76.0	3.3E+7	3.3E+10	47	166.9	111.9	1.0	10.6	
X	0.70	7.0	94.0	4.0E+7	4.0E+10	41	168.8	173.7	0.8	1.2	
X	0.80	7.9	86.0	3.7E+7	3.7E+10	49	181.9	185.3	1.2	4.3	
X	0.85	6.9	94.0	4.0E+7	4.0E+10	49	183.8	120.2	1.3	5.6	
X	0.90	6.4	105.0	4.5E+7	4.5E+10	56	192.5	193.7	1.2	6.5	
	Mean	6.6	88.3	3.8E+7	3.8E+10	51.1	178.8	168.5	1.1	11.0	
	St.Dev.	0.8	10.0	4.3E+6	4.3E+9	6.4	9.1	36.9	0.2	9.6	
	Rel.St.Dev.	12.8	11.4	1.1E+1	1.1E+1	12.6	5.1	21.9	16.3	88.0	
