Use	Position	Mean Int.	Av. No of Particles	Conc. (p./mL)	Orig. Conc. (p./cm^3)	No. of Traces	X50 (nm)	Peak ø (nm)	Span	Drift (µm/s)	Removal
X	0.10	5.2	11.0	4.7E+6	4.7E+9	8	187.5	133.1	1.3	20.2	
X	0.15	4.7	17.0	7.3E+6	7.3E+9	14	202.5	219.8	1.1	27.0	
	0.20	3.1	11.0	4.7E+6	4.7E+9	8	142.5	145.5	1.0	30.7	MAX_DRIFT
	0.30	3.4	9.0	3.9E+6	3.9E+9	8	142.5	129.8	1.3	31.2	MAX_DRIFT
X	0.40	5.2	10.0	4.3E+6	4.3E+9	6	177.5	281.3	0.8	29.1	
X	0.50	3.9	18.0	7.7E+6	7.7E+9	11	233.8	150.4	0.8	24.1	
	0.60	4.5	18.0	7.7E+6	7.7E+9	14	187.5	434.5	1.7	13.6	GRUBBS_SIZE
	0.70	3.1	2.0	8.6E+5	8.6E+8	1	200.0	203.4	0.0	7.8	MIN_TRACES
X	0.80	4.7	20.0	8.6E+6	8.6E+9	17	135.0	116.3	1.7	3.0	
X	0.85	5.9	15.0	6.4E+6	6.4E+9	6	142.5	140.0	2.6	1.0	
X	0.90	5.7	10.0	4.3E+6	4.3E+9	8	157.5	197.9	1.0	0.4	
	Mean	5.0	14.4	6.2E+6	6.2E+9	10.0	176.6	177.0	1.3	15.0	
	St.Dev.	0.7	4.1	1.8E+6	1.8E+9	4.2	34.9	58.9	0.6	13.0	
	Rel.St.Dev.	13.2	28.5	2.9E+1	2.9E+1	42.0	19.8	33.3	47.2	86.5	
