Use	Position	Mean Int.	Av. No of Particles	Conc. (p./mL)	Orig. Conc. (p./cm^3)	No. of Traces	X50 (nm)	Peak ø (nm)	Span	Drift (µm/s)	Removal
X	0.10	6.9	56.0	2.4E+7	2.4E+10	5	120.0	123.6	0.6	12.6	
	0.15	4.4	2.0	8.6E+5	8.6E+8	2	152.5	208.4	0.4	24.1	MIN_TRACES
	0.20	3.0	11.0	4.7E+6	4.7E+9	10	122.5	130.5	0.9	27.0	GRUBBS_NUMBER
	0.30	4.0	59.0	2.5E+7	2.5E+10	45	99.4	103.7	1.2	31.3	MAX_DRIFT
X	0.40	4.8	83.0	3.6E+7	3.6E+10	55	104.4	110.4	0.7	29.2	
X	0.50	4.5	87.0	3.7E+7	3.7E+10	57	97.9	98.1	0.8	24.5	
X	0.60	5.0	65.0	2.8E+7	2.8E+10	45	95.0	93.1	1.1	19.8	
X	0.70	3.6	56.0	2.4E+7	2.4E+10	37	99.0	97.9	0.9	13.8	
X	0.80	5.5	68.0	2.9E+7	2.9E+10	41	93.8	91.3	0.9	7.5	
	0.85	5.8	13.0	5.6E+6	5.6E+9	3	80.0	79.8	0.4	1.8	MIN_TRACES
	0.90	5.6	0.0	0.0E+0	0.0E+0	0	5997.5	0.0	0.0	0.0	MIN_TRACES
	Mean	5.0	69.2	3.0E+7	3.0E+10	40.0	101.7	102.4	0.8	17.9	
	St.Dev.	1.1	13.2	5.7E+6	5.7E+9	18.8	9.7	12.3	0.2	8.1	
	Rel.St.Dev.	21.5	19.1	1.9E+1	1.9E+1	47.1	9.6	12.0	19.1	45.2	
