Use	Position	Mean Int.	Av. No of Particles	Conc. (p./mL)	Orig. Conc. (p./cm^3)	No. of Traces	X50 (nm)	Peak ø (nm)	Span	Drift (µm/s)	Removal
X	0.10	6.5	79.0	3.4E+7	3.4E+10	8	100.8	100.5	0.6	22.3	
X	0.15	5.0	71.0	3.0E+7	3.0E+10	36	125.0	117.8	0.8	28.6	
X	0.20	4.0	61.0	2.6E+7	2.6E+10	40	132.5	117.9	0.9	29.4	
	0.30	5.1	77.0	3.3E+7	3.3E+10	47	168.1	161.6	1.3	31.1	MAX_DRIFT
X	0.40	4.4	69.0	3.0E+7	3.0E+10	40	187.5	168.6	0.9	24.6	
X	0.50	5.7	81.0	3.5E+7	3.5E+10	50	177.5	174.1	1.0	16.7	
X	0.60	6.0	79.0	3.4E+7	3.4E+10	45	171.3	129.2	1.0	8.2	
X	0.70	7.0	95.0	4.1E+7	4.1E+10	46	192.5	134.4	1.1	0.2	
X	0.80	7.4	79.0	3.4E+7	3.4E+10	44	162.5	185.5	1.3	4.2	
X	0.85	6.8	107.0	4.6E+7	4.6E+10	61	173.3	154.0	1.1	5.6	
X	0.90	6.0	68.0	2.9E+7	2.9E+10	37	191.2	159.9	1.0	5.0	
	Mean	5.9	78.9	3.4E+7	3.4E+10	40.7	161.4	144.2	1.0	14.5	
	St.Dev.	1.1	13.6	5.8E+6	5.8E+9	13.6	31.4	28.2	0.2	11.1	
	Rel.St.Dev.	19.3	17.2	1.7E+1	1.7E+1	33.4	19.4	19.6	19.5	76.7	
