Use	Position	Mean Int.	Av. No of Particles	Conc. (p./mL)	Orig. Conc. (p./cm^3)	No. of Traces	X50 (nm)	Peak ø (nm)	Span	Drift (µm/s)	Removal
	0.10	5.2	8.0	3.4E+6	3.4E+9	5	226.2	228.1	0.3	18.1	RANGE_NUMBER
X	0.15	4.7	19.0	8.2E+6	8.2E+9	13	205.0	158.8	1.6	23.2	
	0.20	3.3	10.0	4.3E+6	4.3E+9	4	155.0	158.4	1.1	26.3	MIN_TRACES
	0.30	3.4	13.0	5.6E+6	5.6E+9	9	188.8	192.9	3.2	30.8	MAX_DRIFT
X	0.40	4.0	12.0	5.1E+6	5.1E+9	7	230.0	273.2	1.1	26.3	
X	0.50	4.1	18.0	7.7E+6	7.7E+9	9	175.0	123.5	1.9	23.6	
X	0.60	4.3	14.0	6.0E+6	6.0E+9	9	165.0	98.7	1.2	14.5	
X	0.70	3.2	16.0	6.9E+6	6.9E+9	10	192.5	288.4	1.3	7.4	
X	0.80	4.7	17.0	7.3E+6	7.3E+9	8	137.5	134.6	1.7	2.5	
X	0.85	6.2	19.0	8.2E+6	8.2E+9	12	227.5	234.7	0.8	1.3	
X	0.90	6.2	14.0	6.0E+6	6.0E+9	11	140.0	140.4	1.2	0.6	
	Mean	4.7	16.1	6.9E+6	6.9E+9	9.9	184.1	181.5	1.3	12.4	
	St.Dev.	1.1	2.6	1.1E+6	1.1E+9	2.0	36.0	73.0	0.4	10.8	
	Rel.St.Dev.	22.5	16.0	1.6E+1	1.6E+1	20.6	19.5	40.2	27.1	87.2	
