Use	Position	Mean Int.	Av. No of Particles	Conc. (p./mL)	Orig. Conc. (p./cm^3)	No. of Traces	X50 (nm)	Peak ø (nm)	Span	Drift (µm/s)	Removal
X	0.10	5.9	37.0	1.6E+7	1.6E+10	18	167.5	231.1	1.8	26.1	
	0.15	5.9	35.0	1.5E+7	1.5E+10	20	135.0	135.9	1.1	34.5	MAX_DRIFT
	0.20	4.1	22.0	9.4E+6	9.4E+9	10	117.5	110.2	1.4	39.9	MAX_DRIFT
	0.30	4.3	32.0	1.4E+7	1.4E+10	18	237.5	134.8	1.2	38.1	MAX_DRIFT
X	0.40	4.7	28.0	1.2E+7	1.2E+10	16	207.5	213.5	1.3	29.4	
X	0.50	4.0	25.0	1.1E+7	1.1E+10	16	222.5	220.6	1.4	18.5	
X	0.60	4.6	14.0	6.0E+6	6.0E+9	7	178.8	185.3	1.7	7.7	
X	0.70	3.5	19.0	8.2E+6	8.2E+9	12	172.5	93.1	0.7	3.0	
X	0.80	5.1	13.0	5.6E+6	5.6E+9	9	230.0	233.1	1.2	12.6	
X	0.85	6.5	33.0	1.4E+7	1.4E+10	16	117.5	109.2	3.5	10.2	
X	0.90	6.4	21.0	9.0E+6	9.0E+9	11	180.0	130.5	0.9	13.2	
	Mean	5.1	23.8	1.0E+7	1.0E+10	13.1	184.5	177.1	1.6	15.1	
	St.Dev.	1.1	8.6	3.7E+6	3.7E+9	3.9	35.9	57.5	0.9	9.0	
	Rel.St.Dev.	22.1	36.3	3.6E+1	3.6E+1	30.0	19.5	32.5	55.5	60.0	
