Use	Position	Mean Int.	Av. No of Particles	Conc. (p./mL)	Orig. Conc. (p./cm^3)	No. of Traces	X50 (nm)	Peak ø (nm)	Span	Drift (µm/s)	Removal
X	0.10	6.9	84.0	3.6E+7	3.6E+10	50	125.8	115.3	1.1	19.6	
X	0.15	5.2	94.0	4.0E+7	4.0E+10	65	125.6	115.9	0.8	23.0	
X	0.20	4.4	91.0	3.9E+7	3.9E+10	64	140.0	149.0	1.1	25.3	
X	0.30	5.4	98.0	4.2E+7	4.2E+10	57	165.0	205.4	0.9	23.7	
X	0.40	4.8	94.0	4.0E+7	4.0E+10	57	113.8	86.9	0.9	17.0	
X	0.50	5.3	110.0	4.7E+7	4.7E+10	73	130.0	115.9	1.1	8.5	
X	0.60	5.8	105.0	4.5E+7	4.5E+10	67	149.4	120.3	1.1	2.3	
X	0.70	7.1	115.0	4.9E+7	4.9E+10	48	130.0	136.0	0.9	6.7	
X	0.80	7.8	107.0	4.6E+7	4.6E+10	63	79.5	84.7	0.6	11.6	
X	0.85	7.0	95.0	4.1E+7	4.1E+10	16	34.2	35.3	1.1	11.3	
	0.90	5.8	25.0	1.1E+7	1.1E+10	16	64.2	65.8	0.6	9.6	GRUBBS_NUMBER
	Mean	6.0	99.3	4.3E+7	4.3E+10	56.0	119.3	116.5	1.0	14.9	
	St.Dev.	1.1	9.6	4.1E+6	4.1E+9	16.0	37.4	44.5	0.2	8.0	
	Rel.St.Dev.	19.1	9.7	9.7E+0	9.7E+0	28.6	31.3	38.2	17.1	53.4	
