Use	Position	Mean Int.	Av. No of Particles	Conc. (p./mL)	Orig. Conc. (p./cm^3)	No. of Traces	X50 (nm)	Peak ø (nm)	Span	Drift (µm/s)	Removal
	0.10	4.2	40.0	1.7E+7	1.7E+10	23	158.8	110.6	1.3	30.9	MAX_DRIFT
	0.15	3.3	36.0	1.5E+7	1.5E+10	26	142.5	124.9	1.1	33.7	MAX_DRIFT
	0.20	3.1	31.0	1.3E+7	1.3E+10	20	157.5	117.9	1.5	36.4	MAX_DRIFT
	0.30	4.5	31.0	1.3E+7	1.3E+10	21	118.8	124.1	0.9	34.1	MAX_DRIFT
X	0.40	2.9	41.0	1.8E+7	1.8E+10	26	200.0	136.2	1.4	26.2	
X	0.50	3.8	41.0	1.8E+7	1.8E+10	23	165.0	110.0	1.3	16.9	
X	0.60	3.4	36.0	1.5E+7	1.5E+10	24	142.5	139.1	1.7	6.1	
	0.70	4.5	46.0	2.0E+7	2.0E+10	0	5997.5	0.0	0.0	6.5	MIN_TRACES
X	0.80	6.0	39.0	1.7E+7	1.7E+10	17	175.0	210.6	1.0	6.3	
X	0.85	5.7	32.0	1.4E+7	1.4E+10	21	190.0	200.6	1.2	6.3	
X	0.90	5.7	44.0	1.9E+7	1.9E+10	19	121.2	94.1	1.9	4.4	
	Mean	4.6	38.8	1.7E+7	1.7E+10	21.7	165.6	148.5	1.4	11.0	
	St.Dev.	1.4	4.3	1.8E+6	1.8E+9	3.3	29.6	47.4	0.3	8.7	
	Rel.St.Dev.	30.0	11.0	1.1E+1	1.1E+1	15.4	17.8	32.0	24.5	78.7	
