Use	Position	Mean Int.	Av. No of Particles	Conc. (p./mL)	Orig. Conc. (p./cm^3)	No. of Traces	X50 (nm)	Peak ø (nm)	Span	Drift (µm/s)	Removal
	0.10	4.1	24.0	1.0E+7	1.0E+10	15	240.0	252.4	1.3	30.5	MAX_DRIFT
	0.15	3.5	35.0	1.5E+7	1.5E+10	23	130.0	125.8	1.3	35.8	MAX_DRIFT
	0.20	3.2	33.0	1.4E+7	1.4E+10	21	130.0	193.5	1.4	37.4	MAX_DRIFT
	0.30	4.5	27.0	1.2E+7	1.2E+10	21	135.0	94.4	1.3	35.1	MAX_DRIFT
X	0.40	2.7	28.0	1.2E+7	1.2E+10	20	215.0	119.3	1.1	25.4	
X	0.50	3.8	41.0	1.8E+7	1.8E+10	26	212.5	103.0	1.1	16.8	
X	0.60	3.3	30.0	1.3E+7	1.3E+10	15	205.0	190.2	1.5	5.0	
X	0.70	4.1	32.0	1.4E+7	1.4E+10	18	157.5	152.5	1.1	2.9	
X	0.80	5.9	41.0	1.8E+7	1.8E+10	30	142.5	93.6	1.6	6.9	
X	0.85	5.7	43.0	1.8E+7	1.8E+10	25	160.0	159.5	1.2	6.6	
X	0.90	5.8	57.0	2.4E+7	2.4E+10	25	178.8	74.9	1.6	5.3	
	Mean	4.5	38.9	1.7E+7	1.7E+10	22.7	181.6	127.6	1.3	9.9	
	St.Dev.	1.3	10.0	4.3E+6	4.3E+9	5.2	29.4	41.2	0.3	8.2	
	Rel.St.Dev.	29.6	25.7	2.6E+1	2.6E+1	23.0	16.2	32.3	18.9	83.2	
