Use	Position	Mean Int.	Av. No of Particles	Conc. (p./mL)	Orig. Conc. (p./cm^3)	No. of Traces	X50 (nm)	Peak ø (nm)	Span	Drift (µm/s)	Removal
X	0.10	4.2	38.0	1.6E+7	1.6E+10	28	127.5	90.8	1.4	29.2	
	0.15	3.3	39.0	1.7E+7	1.7E+10	23	185.0	144.5	1.3	32.8	MAX_DRIFT
	0.20	3.1	41.0	1.8E+7	1.8E+10	26	177.5	124.3	1.3	34.9	MAX_DRIFT
	0.30	4.5	45.0	1.9E+7	1.9E+10	32	155.0	148.3	1.2	32.2	MAX_DRIFT
	0.40	2.9	44.0	1.9E+7	1.9E+10	33	206.3	215.3	1.1	24.7	GRUBBS_SIZE
	0.50	3.9	44.0	1.9E+7	1.9E+10	0	5997.5	0.0	0.0	15.7	MIN_TRACES
X	0.60	3.5	52.0	2.2E+7	2.2E+10	33	138.1	143.8	0.8	6.3	
X	0.70	3.8	40.0	1.7E+7	1.7E+10	19	130.0	66.1	1.5	0.9	
X	0.80	6.1	53.0	2.3E+7	2.3E+10	35	186.2	84.9	1.4	4.4	
X	0.85	5.5	41.0	1.8E+7	1.8E+10	24	182.5	102.7	1.6	5.0	
X	0.90	6.2	66.0	2.8E+7	2.8E+10	30	117.5	93.0	1.6	3.9	
	Mean	4.9	48.3	2.1E+7	2.1E+10	28.2	147.0	96.9	1.4	8.3	
	St.Dev.	1.2	10.7	4.6E+6	4.6E+9	5.9	29.7	26.0	0.3	10.4	
	Rel.St.Dev.	24.2	22.2	2.2E+1	2.2E+1	21.0	20.2	26.8	20.4	125.7	
