Use	Position	Mean Int.	Av. No of Particles	Conc. (p./mL)	Orig. Conc. (p./cm^3)	No. of Traces	X50 (nm)	Peak ø (nm)	Span	Drift (µm/s)	Removal
	0.10	4.8	39.0	1.7E+7	1.7E+10	24	132.5	104.2	1.5	31.5	MAX_DRIFT
	0.15	4.2	44.0	1.9E+7	1.9E+10	31	200.0	227.7	1.1	36.6	MAX_DRIFT
	0.20	4.1	50.0	2.1E+7	2.1E+10	33	143.3	106.7	0.9	36.6	MAX_DRIFT
	0.30	4.9	44.0	1.9E+7	1.9E+10	26	154.2	106.6	1.8	35.0	MAX_DRIFT
X	0.40	3.1	54.0	2.3E+7	2.3E+10	37	115.0	93.9	1.7	26.6	
	0.50	4.2	40.0	1.7E+7	1.7E+10	27	163.8	203.3	1.5	15.9	GRUBBS_SIZE
X	0.60	3.8	54.0	2.3E+7	2.3E+10	33	161.2	118.6	1.1	6.7	
X	0.70	4.0	47.0	2.0E+7	2.0E+10	30	142.5	113.6	1.4	2.7	
	0.80	6.2	56.0	2.4E+7	2.4E+10	1	10.0	0.0	0.4	7.0	MIN_TRACES
X	0.85	5.9	52.0	2.2E+7	2.2E+10	34	137.5	80.0	2.3	6.9	
	0.90	6.8	98.0	4.2E+7	4.2E+10	51	155.0	107.5	1.3	5.2	GRUBBS_NUMBER
	Mean	4.2	51.8	2.2E+7	2.2E+10	33.5	139.1	101.5	1.6	10.7	
	St.Dev.	1.2	3.3	1.4E+6	1.4E+9	2.9	19.0	17.9	0.5	10.8	
	Rel.St.Dev.	28.1	6.4	6.4E+0	6.4E+0	8.6	13.7	17.6	29.9	100.6	
