Use	Position	Mean Int.	Av. No of Particles	Conc. (p./mL)	Orig. Conc. (p./cm^3)	No. of Traces	X50 (nm)	Peak ø (nm)	Span	Drift (µm/s)	Removal
	0.10	4.1	38.0	1.6E+7	1.6E+10	29	191.9	193.0	2.2	29.9	GRUBBS_SIZE
	0.15	3.2	24.0	1.0E+7	1.0E+10	15	130.0	130.3	2.0	35.0	MAX_DRIFT
	0.20	3.1	37.0	1.6E+7	1.6E+10	27	170.0	138.2	1.9	36.0	MAX_DRIFT
	0.30	4.6	41.0	1.8E+7	1.8E+10	25	141.7	137.0	1.4	34.2	MAX_DRIFT
	0.40	2.7	25.0	1.1E+7	1.1E+10	17	156.2	149.8	2.3	26.9	GRUBBS_NUMBER
X	0.50	3.9	34.0	1.5E+7	1.5E+10	23	181.2	106.3	1.8	15.8	
X	0.60	3.4	33.0	1.4E+7	1.4E+10	19	165.0	110.8	1.5	6.9	
X	0.70	4.1	34.0	1.5E+7	1.5E+10	25	188.8	109.7	1.4	1.8	
	0.80	6.0	40.0	1.7E+7	1.7E+10	26	182.5	93.1	1.7	6.1	GRUBBS_SIZE
X	0.85	5.6	37.0	1.6E+7	1.6E+10	23	170.0	108.3	1.7	6.5	
	0.90	5.9	53.0	2.3E+7	2.3E+10	24	180.8	284.7	1.2	4.2	GRUBBS_NUMBER
	Mean	4.2	34.5	1.5E+7	1.5E+10	22.5	176.2	108.8	1.6	7.8	
	St.Dev.	0.9	1.7	7.4E+5	7.4E+8	2.5	10.8	1.9	0.2	5.8	
	Rel.St.Dev.	22.1	5.0	5.0E+0	5.0E+0	11.2	6.1	1.8	9.8	74.8	
