Use	Position	Mean Int.	Av. No of Particles	Conc. (p./mL)	Orig. Conc. (p./cm^3)	No. of Traces	X50 (nm)	Peak ø (nm)	Span	Drift (µm/s)	Removal
X	0.10	4.3	24.0	1.0E+7	1.0E+10	14	142.5	113.2	1.3	29.4	
	0.15	3.7	26.0	1.1E+7	1.1E+10	18	102.5	87.8	3.9	36.9	MAX_DRIFT
	0.20	3.4	28.0	1.2E+7	1.2E+10	17	230.0	116.0	1.6	36.8	MAX_DRIFT
	0.30	4.6	26.0	1.1E+7	1.1E+10	18	135.0	223.4	1.1	34.8	MAX_DRIFT
X	0.40	2.8	20.0	8.6E+6	8.6E+9	10	112.5	88.0	1.5	28.7	
X	0.50	3.8	26.0	1.1E+7	1.1E+10	15	170.0	167.6	1.5	19.2	
X	0.60	3.3	23.0	9.9E+6	9.9E+9	14	117.5	120.0	1.4	7.7	
X	0.70	4.2	27.0	1.2E+7	1.2E+10	15	140.0	94.2	2.2	2.1	
X	0.80	6.0	30.0	1.3E+7	1.3E+10	18	152.5	130.0	1.5	4.7	
X	0.85	5.6	29.0	1.2E+7	1.2E+10	19	136.2	89.6	2.5	7.3	
	0.90	5.9	42.0	1.8E+7	1.8E+10	17	148.3	153.7	1.1	4.2	GRUBBS_NUMBER
	Mean	4.3	25.6	1.1E+7	1.1E+10	15.0	138.8	114.7	1.7	14.2	
	St.Dev.	1.2	3.5	1.5E+6	1.5E+9	2.9	19.7	28.4	0.5	11.5	
	Rel.St.Dev.	27.4	13.7	1.4E+1	1.4E+1	19.6	14.2	24.7	27.3	81.2	
