Use	Position	Mean Int.	Av. No of Particles	Conc. (p./mL)	Orig. Conc. (p./cm^3)	No. of Traces	X50 (nm)	Peak ø (nm)	Span	Drift (µm/s)	Removal
X	0.10	4.4	48.0	2.1E+7	2.1E+10	29	201.2	205.8	1.1	29.2	
	0.15	3.5	49.0	2.1E+7	2.1E+10	40	162.5	103.8	1.5	32.8	MAX_DRIFT
	0.20	3.1	38.0	1.6E+7	1.6E+10	25	121.2	98.9	1.9	34.9	MAX_DRIFT
	0.30	4.7	38.0	1.6E+7	1.6E+10	26	162.5	211.6	1.4	31.9	MAX_DRIFT
X	0.40	2.8	39.0	1.7E+7	1.7E+10	28	177.5	222.9	1.6	25.9	
X	0.50	3.8	33.0	1.4E+7	1.4E+10	20	157.5	178.6	0.8	15.5	
X	0.60	3.4	40.0	1.7E+7	1.7E+10	27	170.0	259.8	1.3	7.5	
X	0.70	3.9	41.0	1.8E+7	1.8E+10	23	135.6	142.9	0.9	0.8	
X	0.80	6.1	48.0	2.1E+7	2.1E+10	32	117.5	198.7	1.1	4.9	
X	0.85	5.4	33.0	1.4E+7	1.4E+10	19	118.8	94.3	2.4	4.4	
X	0.90	6.1	60.0	2.6E+7	2.6E+10	22	167.5	214.8	1.4	3.3	
	Mean	4.5	42.8	1.8E+7	1.8E+10	25.0	155.7	189.7	1.3	11.4	
	St.Dev.	1.2	9.0	3.9E+6	3.9E+9	4.7	29.6	51.3	0.5	10.9	
	Rel.St.Dev.	27.8	21.1	2.1E+1	2.1E+1	18.6	19.0	27.0	37.0	95.2	
