Use	Position	Mean Int.	Av. No of Particles	Conc. (p./mL)	Orig. Conc. (p./cm^3)	No. of Traces	X50 (nm)	Peak ø (nm)	Span	Drift (µm/s)	Removal
	0.10	4.2	41.0	1.8E+7	1.8E+10	27	160.0	201.1	2.3	34.8	MAX_DRIFT
	0.15	3.3	29.0	1.2E+7	1.2E+10	20	142.5	84.6	1.2	37.7	MAX_DRIFT
	0.20	3.2	41.0	1.8E+7	1.8E+10	30	130.0	103.4	1.8	40.0	MAX_DRIFT
	0.30	4.6	29.0	1.2E+7	1.2E+10	2	77.5	138.4	0.8	34.8	MIN_TRACES
X	0.40	2.8	31.0	1.3E+7	1.3E+10	22	112.5	90.7	1.1	25.3	
X	0.50	3.8	40.0	1.7E+7	1.7E+10	29	170.0	125.7	1.5	14.3	
X	0.60	3.4	28.0	1.2E+7	1.2E+10	19	188.8	199.0	1.4	1.3	
X	0.70	4.3	42.0	1.8E+7	1.8E+10	29	185.0	239.4	1.3	7.8	
X	0.80	6.1	44.0	1.9E+7	1.9E+10	23	135.0	88.8	1.2	10.1	
X	0.85	5.6	40.0	1.7E+7	1.7E+10	25	163.3	104.1	1.4	10.6	
X	0.90	5.6	28.0	1.2E+7	1.2E+10	10	97.5	87.1	1.2	7.0	
	Mean	4.5	36.1	1.6E+7	1.6E+10	22.4	150.3	133.5	1.3	10.9	
	St.Dev.	1.3	6.9	3.0E+6	3.0E+9	6.6	35.8	61.1	0.1	7.5	
	Rel.St.Dev.	28.3	19.1	1.9E+1	1.9E+1	29.3	23.8	45.8	10.3	68.4	
