Use	Position	Mean Int.	Av. No of Particles	Conc. (p./mL)	Orig. Conc. (p./cm^3)	No. of Traces	X50 (nm)	Peak ø (nm)	Span	Drift (µm/s)	Removal
X	0.10	4.4	36.0	1.5E+7	1.5E+10	24	152.5	106.0	1.1	29.3	
	0.15	3.3	25.0	1.1E+7	1.1E+10	17	111.2	88.4	1.0	32.9	MAX_DRIFT
	0.20	3.1	28.0	1.2E+7	1.2E+10	21	118.8	148.9	1.3	33.4	MAX_DRIFT
	0.30	4.8	43.0	1.8E+7	1.8E+10	32	135.0	110.9	1.1	32.7	MAX_DRIFT
X	0.40	2.8	31.0	1.3E+7	1.3E+10	20	115.0	93.3	1.2	24.2	
X	0.50	4.0	30.0	1.3E+7	1.3E+10	20	127.5	134.4	1.1	15.9	
X	0.60	4.4	36.0	1.5E+7	1.5E+10	25	150.0	155.9	1.0	7.8	
X	0.70	4.6	37.0	1.6E+7	1.6E+10	27	165.0	134.7	1.4	0.9	
X	0.80	6.0	31.0	1.3E+7	1.3E+10	20	112.5	84.6	1.3	2.8	
X	0.85	5.6	33.0	1.4E+7	1.4E+10	19	133.8	95.8	0.8	2.2	
X	0.90	5.9	42.0	1.8E+7	1.8E+10	21	111.2	78.3	1.5	3.6	
	Mean	4.7	34.5	1.5E+7	1.5E+10	22.0	133.4	110.4	1.2	10.8	
	St.Dev.	1.1	4.0	1.7E+6	1.7E+9	2.9	20.5	27.9	0.2	11.0	
	Rel.St.Dev.	23.0	11.7	1.2E+1	1.2E+1	13.3	15.4	25.3	18.1	101.2	
