Use	Position	Mean Int.	Av. No of Particles	Conc. (p./mL)	Orig. Conc. (p./cm^3)	No. of Traces	X50 (nm)	Peak ø (nm)	Span	Drift (µm/s)	Removal
X	0.10	4.5	41.0	1.8E+7	1.8E+10	30	142.5	99.0	1.5	27.1	
	0.15	3.4	56.0	2.4E+7	2.4E+10	40	157.5	131.7	1.4	32.8	MAX_DRIFT
	0.20	3.3	41.0	1.8E+7	1.8E+10	25	138.8	88.3	0.9	33.3	MAX_DRIFT
	0.30	4.7	49.0	2.1E+7	2.1E+10	35	160.0	74.6	1.2	31.0	MAX_DRIFT
X	0.40	3.1	46.0	2.0E+7	2.0E+10	32	175.0	225.0	0.8	24.9	
X	0.50	3.9	33.0	1.4E+7	1.4E+10	17	160.0	298.2	1.5	16.2	
X	0.60	3.4	43.0	1.8E+7	1.8E+10	31	128.8	129.2	2.1	6.7	
X	0.70	4.0	43.0	1.8E+7	1.8E+10	29	175.0	114.2	1.5	1.3	
X	0.80	6.2	55.0	2.4E+7	2.4E+10	31	150.0	80.1	1.6	4.7	
X	0.85	5.5	40.0	1.7E+7	1.7E+10	21	166.2	275.0	1.2	5.5	
X	0.90	6.2	62.0	2.7E+7	2.7E+10	27	121.2	93.1	1.0	3.0	
	Mean	4.6	45.4	1.9E+7	1.9E+10	27.2	152.3	164.2	1.4	11.2	
	St.Dev.	1.2	9.1	3.9E+6	3.9E+9	5.4	20.4	87.9	0.4	10.2	
	Rel.St.Dev.	26.4	20.1	2.0E+1	2.0E+1	19.9	13.4	53.5	28.1	91.1	
