Use	Position	Mean Int.	Av. No of Particles	Conc. (p./mL)	Orig. Conc. (p./cm^3)	No. of Traces	X50 (nm)	Peak ø (nm)	Span	Drift (µm/s)	Removal
X	0.10	4.4	38.0	1.6E+7	1.6E+10	28	167.5	93.1	1.4	24.5	
X	0.15	3.2	28.0	1.2E+7	1.2E+10	19	166.2	234.8	1.1	28.3	
X	0.20	3.1	33.0	1.4E+7	1.4E+10	24	140.8	145.1	1.5	29.2	
X	0.30	4.5	36.0	1.5E+7	1.5E+10	25	151.7	147.4	1.1	27.6	
X	0.40	2.7	27.0	1.2E+7	1.2E+10	14	207.5	209.4	0.8	21.9	
X	0.50	3.8	33.0	1.4E+7	1.4E+10	19	135.0	141.4	1.6	15.0	
X	0.60	3.5	32.0	1.4E+7	1.4E+10	22	202.5	219.1	1.4	5.0	
X	0.70	4.2	33.0	1.4E+7	1.4E+10	13	170.0	174.7	1.3	1.6	
X	0.80	6.0	42.0	1.8E+7	1.8E+10	26	159.2	112.6	1.8	4.4	
X	0.85	5.6	35.0	1.5E+7	1.5E+10	20	132.5	201.5	2.2	3.6	
	0.90	5.7	53.0	2.3E+7	2.3E+10	26	132.5	110.1	1.6	3.2	GRUBBS_NUMBER
	Mean	4.1	33.7	1.4E+7	1.4E+10	21.0	163.3	167.9	1.4	16.1	
	St.Dev.	1.1	4.4	1.9E+6	1.9E+9	5.0	25.8	47.5	0.4	11.5	
	Rel.St.Dev.	26.3	13.1	1.3E+1	1.3E+1	23.7	15.8	28.3	26.7	71.2	
