Use	Position	Mean Int.	Av. No of Particles	Conc. (p./mL)	Orig. Conc. (p./cm^3)	No. of Traces	X50 (nm)	Peak ø (nm)	Span	Drift (µm/s)	Removal
	0.10	4.2	29.0	1.2E+7	1.2E+10	22	112.5	120.9	1.0	31.2	MAX_DRIFT
	0.15	3.2	27.0	1.2E+7	1.2E+10	21	92.0	93.1	0.6	34.7	MAX_DRIFT
	0.20	3.1	32.0	1.4E+7	1.4E+10	21	91.9	94.6	1.2	37.9	MAX_DRIFT
	0.30	4.6	27.0	1.2E+7	1.2E+10	18	102.5	92.9	0.5	37.3	MAX_DRIFT
	0.40	3.0	45.0	1.9E+7	1.9E+10	30	107.5	121.0	0.6	30.3	MAX_DRIFT
X	0.50	4.0	53.0	2.3E+7	2.3E+10	32	87.5	89.1	0.6	22.0	
X	0.60	3.9	77.0	3.3E+7	3.3E+10	52	99.4	104.2	0.7	12.2	
X	0.70	5.0	118.0	5.1E+7	5.1E+10	81	103.1	105.5	0.7	4.3	
X	0.80	5.8	36.0	1.5E+7	1.5E+10	20	90.0	87.8	0.8	2.6	
	0.85	5.3	6.0	2.6E+6	2.6E+9	1	70.0	73.4	0.1	4.2	MIN_TRACES
	0.90	5.5	13.0	5.6E+6	5.6E+9	4	422.5	713.4	1.5	1.8	MIN_TRACES
	Mean	4.7	71.0	3.0E+7	3.0E+10	46.2	95.0	96.6	0.7	10.3	
	St.Dev.	0.9	35.6	1.5E+7	1.5E+10	26.7	7.4	9.5	0.1	8.9	
	Rel.St.Dev.	19.1	50.1	5.0E+1	5.0E+1	57.6	7.8	9.8	10.6	86.4	
