Use	Position	Mean Int.	Av. No of Particles	Conc. (p./mL)	Orig. Conc. (p./cm^3)	No. of Traces	X50 (nm)	Peak ø (nm)	Span	Drift (µm/s)	Removal
	0.10	3.9	20.0	8.6E+6	8.6E+9	12	102.5	99.7	1.3	30.5	MAX_DRIFT
	0.15	3.2	26.0	1.1E+7	1.1E+10	18	132.5	119.7	1.7	34.6	MAX_DRIFT
	0.20	2.9	16.0	6.9E+6	6.9E+9	7	150.0	160.0	1.6	36.9	MAX_DRIFT
	0.30	4.4	21.0	9.0E+6	9.0E+9	13	115.0	113.4	3.0	34.3	MAX_DRIFT
X	0.40	2.7	31.0	1.3E+7	1.3E+10	21	115.0	78.8	1.1	25.6	
	0.50	3.7	18.0	7.7E+6	7.7E+9	12	137.5	228.7	1.7	18.4	GRUBBS_SIZE
X	0.60	3.5	20.0	8.6E+6	8.6E+9	15	175.0	108.1	2.0	7.5	
X	0.70	3.9	21.0	9.0E+6	9.0E+9	17	135.0	72.9	1.6	0.9	
X	0.80	6.0	32.0	1.4E+7	1.4E+10	20	157.5	117.7	1.3	5.8	
X	0.85	5.5	30.0	1.3E+7	1.3E+10	15	135.0	109.9	1.5	4.5	
X	0.90	5.7	35.0	1.5E+7	1.5E+10	14	127.5	92.7	1.9	4.6	
	Mean	4.5	28.2	1.2E+7	1.2E+10	17.0	140.8	96.7	1.6	8.2	
	St.Dev.	1.3	6.2	2.7E+6	2.7E+9	2.9	21.7	18.2	0.4	8.8	
	Rel.St.Dev.	29.7	21.9	2.2E+1	2.2E+1	17.0	15.4	18.8	22.7	108.1	
