Use	Position	Mean Int.	Av. No of Particles	Conc. (p./mL)	Orig. Conc. (p./cm^3)	No. of Traces	X50 (nm)	Peak ø (nm)	Span	Drift (µm/s)	Removal
X	0.10	4.3	48.0	2.1E+7	2.1E+10	33	178.1	186.6	1.0	28.4	
	0.15	3.6	44.0	1.9E+7	1.9E+10	27	140.0	107.9	2.0	31.9	MAX_DRIFT
	0.20	3.4	50.0	2.1E+7	2.1E+10	33	151.2	81.4	1.6	34.3	MAX_DRIFT
	0.30	4.7	44.0	1.9E+7	1.9E+10	30	127.5	117.2	1.1	31.8	MAX_DRIFT
X	0.40	2.8	37.0	1.6E+7	1.6E+10	13	120.0	79.6	0.9	25.3	
X	0.50	4.4	62.0	2.7E+7	2.7E+10	31	111.2	73.6	1.4	16.2	
X	0.60	3.8	72.0	3.1E+7	3.1E+10	42	127.5	84.2	1.1	7.0	
X	0.70	4.8	56.0	2.4E+7	2.4E+10	36	155.0	149.5	1.0	2.2	
X	0.80	6.3	54.0	2.3E+7	2.3E+10	30	157.5	139.7	1.8	4.3	
X	0.85	5.7	55.0	2.4E+7	2.4E+10	32	150.0	109.6	1.0	4.2	
X	0.90	6.7	88.0	3.8E+7	3.8E+10	36	135.0	79.3	1.4	3.0	
	Mean	4.8	59.0	2.5E+7	2.5E+10	31.6	141.8	112.8	1.2	11.3	
	St.Dev.	1.3	15.5	6.6E+6	6.6E+9	8.4	22.3	41.6	0.3	10.5	
	Rel.St.Dev.	27.1	26.2	2.6E+1	2.6E+1	26.7	15.7	36.9	25.1	93.1	
