Use	Position	Mean Int.	Av. No of Particles	Conc. (p./mL)	Orig. Conc. (p./cm^3)	No. of Traces	X50 (nm)	Peak ø (nm)	Span	Drift (µm/s)	Removal
X	0.10	4.2	11.0	4.7E+6	4.7E+9	6	97.5	96.2	0.9	24.2	
X	0.15	3.3	29.0	1.2E+7	1.2E+10	20	94.2	96.0	0.8	27.3	
	0.20	3.0	28.0	1.2E+7	1.2E+10	18	120.0	108.2	1.2	31.3	MAX_DRIFT
	0.30	4.5	21.0	9.0E+6	9.0E+9	13	181.2	184.5	1.1	27.8	GRUBBS_SIZE
X	0.40	2.9	21.0	9.0E+6	9.0E+9	13	110.0	113.3	0.9	26.8	
X	0.50	3.8	36.0	1.5E+7	1.5E+10	25	115.0	103.7	2.4	18.7	
X	0.60	3.4	24.0	1.0E+7	1.0E+10	20	112.5	101.3	1.1	13.4	
X	0.70	3.8	13.0	5.6E+6	5.6E+9	6	102.5	104.9	2.1	3.7	
X	0.80	5.7	23.0	9.9E+6	9.9E+9	15	145.0	113.1	1.7	1.1	
X	0.85	5.2	21.0	9.0E+6	9.0E+9	12	102.5	86.3	1.5	1.8	
X	0.90	5.9	25.0	1.1E+7	1.1E+10	8	102.5	80.7	2.9	1.4	
	Mean	4.2	22.6	9.7E+6	9.7E+9	13.9	109.1	99.5	1.6	13.1	
	St.Dev.	1.1	7.6	3.3E+6	3.3E+9	6.7	15.1	11.0	0.8	11.4	
	Rel.St.Dev.	25.9	33.6	3.4E+1	3.4E+1	48.5	13.8	11.1	47.8	86.9	
