Use	Position	Mean Int.	Av. No of Particles	Conc. (p./mL)	Orig. Conc. (p./cm^3)	No. of Traces	X50 (nm)	Peak ø (nm)	Span	Drift (µm/s)	Removal
X	0.10	4.3	45.0	1.9E+7	1.9E+10	35	130.0	101.4	1.6	29.5	
	0.15	3.3	38.0	1.6E+7	1.6E+10	25	120.0	120.7	1.5	33.7	MAX_DRIFT
	0.20	3.3	45.0	1.9E+7	1.9E+10	33	158.8	214.7	1.0	34.7	MAX_DRIFT
	0.30	4.7	38.0	1.6E+7	1.6E+10	24	162.5	187.7	1.4	31.1	MAX_DRIFT
X	0.40	2.7	26.0	1.1E+7	1.1E+10	17	140.0	98.7	1.0	23.6	
X	0.50	3.8	30.0	1.3E+7	1.3E+10	19	185.0	195.2	1.2	13.4	
X	0.60	3.5	32.0	1.4E+7	1.4E+10	22	162.5	146.8	1.2	5.0	
X	0.70	4.3	37.0	1.6E+7	1.6E+10	21	190.0	170.7	1.1	5.0	
X	0.80	6.0	34.0	1.5E+7	1.5E+10	18	137.5	99.6	1.8	7.9	
X	0.85	5.6	37.0	1.6E+7	1.6E+10	20	117.5	105.7	1.9	7.2	
X	0.90	5.6	27.0	1.2E+7	1.2E+10	8	102.5	90.0	11.9	3.0	
	Mean	4.5	33.5	1.4E+7	1.4E+10	20.0	145.6	126.0	2.7	11.8	
	St.Dev.	1.2	6.2	2.7E+6	2.7E+9	7.4	31.2	39.6	3.7	9.7	
	Rel.St.Dev.	26.0	18.5	1.9E+1	1.9E+1	37.2	21.4	31.4	137.1	82.2	
