Use	Position	Mean Int.	Av. No of Particles	Conc. (p./mL)	Orig. Conc. (p./cm^3)	No. of Traces	X50 (nm)	Peak ø (nm)	Span	Drift (µm/s)	Removal
	0.10	2.6	24.0	1.0E+7	1.0E+10	18	169.2	170.5	1.1	31.3	MAX_DRIFT
	0.15	2.2	12.0	5.1E+6	5.1E+9	9	240.0	249.7	1.1	37.3	MAX_DRIFT
	0.20	2.4	24.0	1.0E+7	1.0E+10	17	173.8	166.5	1.2	38.5	MAX_DRIFT
	0.30	2.5	17.0	7.3E+6	7.3E+9	9	135.0	104.4	3.5	37.8	MAX_DRIFT
X	0.40	2.5	20.0	8.6E+6	8.6E+9	15	155.0	215.2	1.4	28.5	
X	0.50	2.1	18.0	7.7E+6	7.7E+9	12	170.0	173.3	1.0	19.0	
X	0.60	2.4	13.0	5.6E+6	5.6E+9	9	275.0	158.4	1.7	7.0	
X	0.70	2.7	17.0	7.3E+6	7.3E+9	12	157.5	128.1	0.8	1.6	
X	0.80	2.7	20.0	8.6E+6	8.6E+9	9	123.8	129.1	1.1	6.1	
X	0.85	2.5	13.0	5.6E+6	5.6E+9	7	160.0	160.0	2.1	6.8	
X	0.90	3.4	20.0	8.6E+6	8.6E+9	12	177.5	130.2	1.2	5.9	
	Mean	2.6	17.3	7.4E+6	7.4E+9	10.9	174.1	156.3	1.3	10.7	
	St.Dev.	0.4	3.1	1.4E+6	1.4E+9	2.7	47.6	31.6	0.4	9.5	
	Rel.St.Dev.	14.9	18.2	1.8E+1	1.8E+1	24.6	27.3	20.2	33.9	88.7	
