Use	Position	Mean Int.	Av. No of Particles	Conc. (p./mL)	Orig. Conc. (p./cm^3)	No. of Traces	X50 (nm)	Peak ø (nm)	Span	Drift (µm/s)	Removal
X	0.10	15.4	348.0	1.5E+8	1.5E+11	18	67.5	45.3	4.9	3.7	
X	0.15	21.6	527.0	2.3E+8	2.3E+11	19	145.0	150.8	3.4	2.4	
X	0.20	22.8	563.0	2.4E+8	2.4E+11	24	82.5	43.2	3.8	1.3	
X	0.30	5.5	61.0	2.6E+7	2.6E+10	34	182.5	174.1	1.2	27.6	
X	0.40	6.0	80.0	3.4E+7	3.4E+10	40	217.5	239.6	1.1	26.6	
X	0.50	9.6	133.0	5.7E+7	5.7E+10	47	140.0	101.0	1.4	23.6	
X	0.60	9.2	106.0	4.5E+7	4.5E+10	36	190.0	109.4	1.3	16.1	
X	0.70	7.6	71.0	3.0E+7	3.0E+10	33	135.6	81.0	1.7	14.0	
X	0.80	8.5	86.0	3.7E+7	3.7E+10	32	192.5	248.8	1.4	9.5	
X	0.85	10.0	101.0	4.3E+7	4.3E+10	32	182.5	85.7	1.4	7.5	
X	0.90	12.6	159.0	6.8E+7	6.8E+10	28	147.5	82.9	1.6	3.1	
	Mean	11.7	203.2	8.7E+7	8.7E+10	31.2	153.0	123.8	2.1	12.3	
	St.Dev.	5.9	186.7	8.0E+7	8.0E+10	8.6	46.6	71.2	1.3	10.0	
	Rel.St.Dev.	50.3	91.9	9.2E+1	9.2E+1	27.7	30.4	57.5	62.2	80.8	
