Use	Position	Mean Int.	Av. No of Particles	Conc. (p./mL)	Orig. Conc. (p./cm^3)	No. of Traces	X50 (nm)	Peak ø (nm)	Span	Drift (µm/s)	Removal
	0.10	4.4	20.0	8.6E+6	8.6E+9	1	30.0	33.4	0.1	12.3	MIN_TRACES
	0.15	4.9	21.0	9.0E+6	9.0E+9	3	25.0	28.1	0.5	10.0	MIN_TRACES
	0.20	4.6	20.0	8.6E+6	8.6E+9	5	18.3	19.8	0.6	16.9	GRUBBS_NUMBER
	0.30	1.0	13.0	5.6E+6	5.6E+9	2	12.5	20.0	1.4	13.4	MIN_TRACES
	0.40	1.1	15.0	6.4E+6	6.4E+9	0	5997.5	0.0	0.0	5.5	MIN_TRACES
	0.50	1.9	10.0	4.3E+6	4.3E+9	0	5997.5	0.0	0.0	2.3	MIN_TRACES
	0.60	2.1	21.0	9.0E+6	9.0E+9	0	5997.5	0.0	0.0	2.7	MIN_TRACES
	0.70	1.7	9.0	3.9E+6	3.9E+9	0	5997.5	0.0	0.0	4.8	MIN_TRACES
	0.80	2.2	13.0	5.6E+6	5.6E+9	0	5997.5	0.0	0.0	10.6	MIN_TRACES
	0.85	3.2	4.0	1.7E+6	1.7E+9	1	35.0	38.4	0.1	7.8	MIN_TRACES
	0.90	5.4	21.0	9.0E+6	9.0E+9	1	20.0	23.4	0.2	10.8	MIN_TRACES
	Mean	0.0	0.0	0.0E+0	0.0E+0	0.0	0.0	0.0	0.0	0.0	
	St.Dev.	0.0	0.0	0.0E+0	0.0E+0	0.0	0.0	0.0	0.0	0.0	
	Rel.St.Dev.	0.0	0.0	0.0E+0	0.0E+0	0.0	0.0	0.0	0.0	0.0	
