Use	Position	Mean Int.	Av. No of Particles	Conc. (p./mL)	Orig. Conc. (p./cm^3)	No. of Traces	X50 (nm)	Peak ø (nm)	Span	Drift (µm/s)	Removal
X	0.10	16.1	371.0	1.6E+8	8.0E+11	13	60.0	31.2	5.3	4.5	
X	0.15	21.3	511.0	2.2E+8	1.1E+12	19	78.8	77.7	2.6	2.6	
X	0.20	22.5	565.0	2.4E+8	1.2E+12	19	100.0	22.5	2.8	1.3	
	0.30	5.3	35.0	1.5E+7	7.5E+10	0	5997.5	0.0	0.0	30.4	MIN_TRACES
	0.40	5.6	50.0	2.1E+7	1.1E+11	4	62.5	90.2	1.1	27.6	MIN_TRACES
X	0.50	9.4	96.0	4.1E+7	2.1E+11	28	112.5	79.5	1.4	17.4	
	0.60	9.3	90.0	3.9E+7	1.9E+11	0	5997.5	0.0	0.0	11.2	MIN_TRACES
	0.70	7.8	63.0	2.7E+7	1.4E+11	0	5997.5	0.0	0.0	4.4	MIN_TRACES
X	0.80	8.6	61.0	2.6E+7	1.3E+11	19	150.0	129.0	1.6	1.2	
	0.85	10.2	94.0	4.0E+7	2.0E+11	4	37.5	29.1	2.2	2.8	MIN_TRACES
	0.90	12.5	128.0	5.5E+7	2.7E+11	0	5997.5	0.0	0.0	3.5	MIN_TRACES
	Mean	15.6	320.8	1.4E+8	6.9E+11	19.6	100.2	68.0	2.7	5.4	
	St.Dev.	6.5	232.6	1.0E+8	5.0E+11	5.4	34.3	42.9	1.5	6.8	
	Rel.St.Dev.	41.5	72.5	7.2E+1	7.2E+1	27.4	34.2	63.2	56.3	126.0	
