Use	Position	Mean Int.	Av. No of Particles	Conc. (p./mL)	Orig. Conc. (p./cm^3)	No. of Traces	X50 (nm)	Peak ø (nm)	Span	Drift (µm/s)	Removal
X	0.10	15.3	351.0	1.5E+8	1.5E+11	19	90.0	55.1	5.4	3.6	
X	0.15	21.7	522.0	2.2E+8	2.2E+11	17	140.0	139.9	2.4	3.2	
X	0.20	22.8	564.0	2.4E+8	2.4E+11	17	138.8	65.0	2.5	1.8	
X	0.30	5.4	58.0	2.5E+7	2.5E+10	30	137.5	100.6	1.7	29.4	
X	0.40	6.0	81.0	3.5E+7	3.5E+10	41	155.0	138.6	1.2	27.8	
	0.50	9.6	141.0	6.1E+7	6.1E+10	49	161.2	269.3	1.4	21.6	GRUBBS_SIZE
X	0.60	9.3	106.0	4.5E+7	4.5E+10	36	147.5	80.4	1.5	17.7	
X	0.70	7.9	104.0	4.5E+7	4.5E+10	45	141.7	85.1	2.1	13.9	
X	0.80	8.6	89.0	3.8E+7	3.8E+10	27	180.0	96.7	1.7	8.9	
X	0.85	10.3	126.0	5.4E+7	5.4E+10	45	143.8	119.1	1.6	7.2	
X	0.90	12.4	134.0	5.7E+7	5.7E+10	29	143.8	131.1	1.3	4.2	
	Mean	12.0	213.5	9.2E+7	9.2E+10	30.6	141.8	101.1	2.2	11.8	
	St.Dev.	6.1	192.0	8.2E+7	8.2E+10	10.9	22.1	30.3	1.2	10.2	
	Rel.St.Dev.	51.4	89.9	9.0E+1	9.0E+1	35.7	15.6	30.0	56.9	86.5	
