Use	Position	Mean Int.	Av. No of Particles	Conc. (p./mL)	Orig. Conc. (p./cm^3)	No. of Traces	X50 (nm)	Peak ø (nm)	Span	Drift (µm/s)	Removal
	0.10	227.2	0.0	0.0E+0	0.0E+0	0	5997.5	0.0	0.0	0.0	MIN_TRACES
	0.15	247.9	0.0	0.0E+0	0.0E+0	0	5997.5	0.0	0.0	0.0	MIN_TRACES
	0.20	251.4	0.0	0.0E+0	0.0E+0	0	5997.5	0.0	0.0	0.0	MIN_TRACES
	0.30	157.1	0.0	0.0E+0	0.0E+0	0	5997.5	0.0	0.0	0.0	MIN_TRACES
	0.40	38.2	223.0	9.6E+7	9.6E+10	1	5.0	0.0	0.8	3.6	MIN_TRACES
	0.50	41.1	153.0	6.6E+7	6.6E+10	0	5997.5	0.0	0.0	3.5	MIN_TRACES
	0.60	71.0	56.0	2.4E+7	2.4E+10	1	175.0	178.4	0.0	7.7	MIN_TRACES
	0.70	106.3	0.0	0.0E+0	0.0E+0	0	5997.5	0.0	0.0	0.0	MIN_TRACES
	0.80	172.5	0.0	0.0E+0	0.0E+0	0	5997.5	0.0	0.0	0.0	MIN_TRACES
	0.85	191.3	0.0	0.0E+0	0.0E+0	0	5997.5	0.0	0.0	0.0	MIN_TRACES
	0.90	119.9	0.0	0.0E+0	0.0E+0	0	5997.5	0.0	0.0	0.0	MIN_TRACES
	Mean	0.0	0.0	0.0E+0	0.0E+0	0.0	0.0	0.0	0.0	0.0	
	St.Dev.	0.0	0.0	0.0E+0	0.0E+0	0.0	0.0	0.0	0.0	0.0	
	Rel.St.Dev.	0.0	0.0	0.0E+0	0.0E+0	0.0	0.0	0.0	0.0	0.0	
