Use	Position	Mean Int.	Av. No of Particles	Conc. (p./mL)	Orig. Conc. (p./cm^3)	No. of Traces	X50 (nm)	Peak ø (nm)	Span	Drift (µm/s)	Removal
	0.10	2.6	2.0	8.6E+5	4.3E+9	2	227.5	0.0	0.1	20.7	MIN_TRACES
	0.15	3.6	5.0	2.1E+6	1.1E+10	2	142.5	508.4	2.6	31.5	MIN_TRACES
	0.20	3.9	10.0	4.3E+6	2.1E+10	5	220.0	225.0	0.6	33.1	MAX_DRIFT
	0.30	0.7	10.0	4.3E+6	2.1E+10	6	205.8	208.4	0.9	39.8	MAX_DRIFT
	0.40	0.7	10.0	4.3E+6	2.1E+10	4	282.5	453.4	0.9	35.0	MIN_TRACES
	0.50	1.5	14.0	6.0E+6	3.0E+10	1	25.0	28.4	0.2	28.1	MIN_TRACES
	0.60	1.5	16.0	6.9E+6	3.4E+10	8	172.5	124.6	1.5	12.6	GRUBBS_NUMBER
	0.70	1.1	15.0	6.4E+6	3.2E+10	9	235.0	241.5	1.2	3.5	GRUBBS_MI
	0.80	1.2	7.0	3.0E+6	1.5E+10	5	170.0	180.9	2.4	6.8	RANGE_NUMBER
	0.85	1.6	15.0	6.4E+6	3.2E+10	9	210.0	360.0	1.8	8.2	GRUBBS_SIZE
	0.90	2.0	10.0	4.3E+6	2.1E+10	4	177.5	243.4	1.2	9.7	MIN_TRACES
	Mean	0.0	0.0	0.0E+0	0.0E+0	0.0	0.0	0.0	0.0	0.0	
	St.Dev.	0.0	0.0	0.0E+0	0.0E+0	0.0	0.0	0.0	0.0	0.0	
	Rel.St.Dev.	0.0	0.0	0.0E+0	0.0E+0	0.0	0.0	0.0	0.0	0.0	
