Use	Position	Mean Int.	Av. No of Particles	Conc. (p./mL)	Orig. Conc. (p./cm^3)	No. of Traces	X50 (nm)	Peak ø (nm)	Span	Drift (µm/s)	Removal
X	0.10	25.8	506.0	2.2E+8	2.2E+11	13	105.0	35.8	2.2	2.0	
	0.15	29.1	391.0	1.7E+8	1.7E+11	10	62.5	218.4	3.8	0.3	GRUBBS_SIZE
X	0.20	27.1	458.0	2.0E+8	2.0E+11	12	52.5	45.6	4.2	0.7	
	0.30	7.4	51.0	2.2E+7	2.2E+10	3	31.2	35.3	0.4	18.1	MIN_TRACES
	0.40	7.4	42.0	1.8E+7	1.8E+10	2	22.5	25.0	0.4	13.7	MIN_TRACES
	0.50	11.0	76.0	3.3E+7	3.3E+10	3	8.8	0.0	0.9	10.2	MIN_TRACES
	0.60	12.0	72.0	3.1E+7	3.1E+10	4	47.5	48.1	0.9	2.1	MIN_TRACES
X	0.70	11.5	225.0	9.7E+7	9.7E+10	14	152.5	33.3	3.5	2.0	
X	0.80	14.2	461.0	2.0E+8	2.0E+11	15	95.0	18.1	1.5	1.2	
X	0.85	19.2	568.0	2.4E+8	2.4E+11	5	20.0	16.8	4.8	2.1	
	0.90	32.2	249.0	1.1E+8	1.1E+11	4	39.2	40.8	0.2	3.3	MIN_TRACES
	Mean	19.6	443.6	1.9E+8	1.9E+11	11.8	85.0	29.9	3.3	1.6	
	St.Dev.	6.9	130.1	5.6E+7	5.6E+10	4.0	50.8	12.3	1.4	0.6	
	Rel.St.Dev.	35.2	29.3	2.9E+1	2.9E+1	33.6	59.8	41.1	42.4	39.5	
