Use	Position	Mean Int.	Av. No of Particles	Conc. (p./mL)	Orig. Conc. (p./cm^3)	No. of Traces	X50 (nm)	Peak ø (nm)	Span	Drift (µm/s)	Removal
X	0.10	16.7	371.0	1.6E+8	8.0E+11	27	135.0	139.0	1.9	4.5	
X	0.15	21.2	504.0	2.2E+8	1.1E+12	29	85.0	30.9	2.0	2.4	
X	0.20	22.8	550.0	2.4E+8	1.2E+12	22	137.5	122.7	2.0	1.6	
	0.30	5.5	47.0	2.0E+7	1.0E+11	3	35.0	39.8	0.8	27.0	MIN_TRACES
X	0.40	5.9	44.0	1.9E+7	9.4E+10	23	163.8	175.3	0.9	25.3	
X	0.50	9.7	119.0	5.1E+7	2.6E+11	37	146.2	95.0	1.8	17.6	
X	0.60	9.5	100.0	4.3E+7	2.1E+11	9	55.0	50.1	2.1	12.3	
	0.70	7.7	64.0	2.7E+7	1.4E+11	0	5997.5	0.0	0.0	7.9	MIN_TRACES
X	0.80	8.5	63.0	2.7E+7	1.4E+11	15	156.2	160.2	0.7	2.4	
	0.85	10.1	78.0	3.3E+7	1.7E+11	0	5997.5	0.0	0.0	1.7	MIN_TRACES
X	0.90	12.5	133.0	5.7E+7	2.9E+11	19	120.0	78.2	2.2	1.1	
	Mean	13.3	235.5	1.0E+8	5.1E+11	22.6	124.8	106.4	1.7	8.4	
	St.Dev.	6.2	206.4	8.9E+7	4.4E+11	8.7	37.2	51.8	0.6	9.1	
	Rel.St.Dev.	46.6	87.6	8.8E+1	8.8E+1	38.2	29.8	48.7	33.4	107.6	
