Use	Position	Mean Int.	Av. No of Particles	Conc. (p./mL)	Orig. Conc. (p./cm^3)	No. of Traces	X50 (nm)	Peak ø (nm)	Span	Drift (µm/s)	Removal
X	0.10	15.6	327.0	1.4E+8	7.0E+11	12	207.5	70.7	2.4	0.5	
X	0.15	21.3	503.0	2.2E+8	1.1E+12	18	122.5	78.6	1.6	2.8	
	0.20	22.8	568.0	2.4E+8	1.2E+12	22	107.5	215.4	2.9	4.9	GRUBBS_SIZE
	0.30	5.5	76.0	3.3E+7	1.6E+11	43	175.0	202.6	1.2	32.6	MAX_DRIFT
X	0.40	5.6	46.0	2.0E+7	9.9E+10	26	160.0	102.6	1.7	29.8	
X	0.50	9.5	111.0	4.8E+7	2.4E+11	34	162.5	82.3	1.2	21.8	
X	0.60	9.7	114.0	4.9E+7	2.4E+11	34	135.8	136.0	1.1	17.1	
X	0.70	8.0	88.0	3.8E+7	1.9E+11	44	150.0	84.2	1.2	9.2	
X	0.80	9.0	92.0	3.9E+7	2.0E+11	40	145.0	110.5	1.3	2.7	
X	0.85	10.3	111.0	4.8E+7	2.4E+11	45	130.6	92.6	1.4	1.2	
X	0.90	12.4	122.0	5.2E+7	2.6E+11	23	120.0	106.3	1.7	0.2	
	Mean	11.3	168.2	7.2E+7	3.6E+11	30.7	148.2	96.0	1.5	9.5	
	St.Dev.	4.7	148.4	6.4E+7	3.2E+11	11.6	26.9	20.1	0.4	10.9	
	Rel.St.Dev.	41.6	88.2	8.8E+1	8.8E+1	37.9	18.2	21.0	25.4	114.8	
